n,distribution,algorithm,median_time,mean_time,trial_times
1000,random,randomized,0.0024101930000028915,0.002393729000000159,0.002410;0.002440;0.002331
1000,random,deterministic,0.0022413239999963253,0.002305783333331609,0.002241;0.002576;0.002100
1000,sorted,randomized,0.0021736870000097497,0.0021803926666687326,0.002265;0.002103;0.002174
1000,sorted,deterministic,0.07075454900000011,0.07337771633333527,0.093741;0.070755;0.055638
1000,reverse,randomized,0.002164949999993837,0.0021768006666652204,0.002165;0.002085;0.002280
1000,reverse,deterministic,0.07264987899999653,0.06747181299999738,0.074320;0.072650;0.055445
1000,repeated,randomized,0.0002501120000033552,0.0002500999999976254,0.000250;0.000262;0.000238
1000,repeated,deterministic,0.00026633699999933924,0.0002685609999986127,0.000266;0.000261;0.000279
3000,random,randomized,0.007389170000010381,0.007788465666673498,0.007389;0.007265;0.008712
3000,random,deterministic,0.006468783999991956,0.006570080666667384,0.006782;0.006469;0.006460
3000,sorted,randomized,0.0069695210000020325,0.00701267166666734,0.006970;0.006691;0.007378
3000,sorted,deterministic,0.5826324060000019,0.5825907566666709,0.572832;0.592308;0.582632
3000,reverse,randomized,0.007473030999989305,0.007541165666661224,0.007702;0.007473;0.007449
3000,reverse,deterministic,0.5648785539999892,0.5786180459999931,0.614752;0.564879;0.556224
3000,repeated,randomized,0.0006669469999991406,0.0007304086666645541,0.000861;0.000667;0.000663
3000,repeated,deterministic,0.0006540109999946253,0.0006505570000048996,0.000655;0.000654;0.000643
6000,random,randomized,0.015956429999988586,0.02137058299999713,0.032298;0.015956;0.015858
6000,random,deterministic,0.014387514000006263,0.014537979666670253,0.014388;0.014339;0.014888
6000,sorted,randomized,0.01480671599999539,0.018441458333327887,0.026162;0.014356;0.014807
6000,sorted,deterministic,2.1399126499999994,2.160476608000001,2.127512;2.139913;2.214005
6000,reverse,randomized,0.017945521999990888,0.022771506333332543,0.016168;0.017946;0.034201
6000,reverse,deterministic,2.1989549719999957,2.268889847000002,2.154918;2.452797;2.198955
6000,repeated,randomized,0.001296861000000149,0.001326359000003663,0.001428;0.001254;0.001297
6000,repeated,deterministic,0.0012995120000027782,0.001358636333335994,0.001478;0.001300;0.001298
